编号,题干,选项,答案
14,根据刚刚介绍过的D锁存器和D触发器的知识，下列描述错误的是：,D. D触发器依靠D锁存器完成构建，因此比D锁存器的结构更加复杂。,错
15,相比于原码表示，补码表示的数不容易令人理解，但它的计算过程更加直观（因为符号位可以直接参与运算）。,A. 对,对
15,相比于原码表示，补码表示的数不容易令人理解，但它的计算过程更加直观（因为符号位可以直接参与运算）。,B. 错,错
16,以下陈述当中，哪一个是错误的？,A. 定点数表示法与浮点数表示法有可能能够表示同一个数。另外，也可能存在某些数，只能够使用定点数表示法或浮点数表示法其中一种进行表示。,错
16,以下陈述当中，哪一个是错误的？,B. 定点数表示法可以与补码表示法搭配使用，用于表示负数。,错
16,以下陈述当中，哪一个是错误的？,C. 两个采用补码表示的定点数进行加法操作，可以无条件地直接按照二进制数的加法规则进行计算便能够得到正确结果。,对
16,以下陈述当中，哪一个是错误的？,D. 定点数的优势在于计算代价较低，浮点数的优势在于表示范围更大。,错
17,我们想设计一个加法器，这个加法器能够完成两个32比特数的加法。如果我们采用真值表的方法解决这个问题，那么这个真值表将有多少行？,A. 32行,错
17,我们想设计一个加法器，这个加法器能够完成两个32比特数的加法。如果我们采用真值表的方法解决这个问题，那么这个真值表将有多少行？,B. 64行,错
17,我们想设计一个加法器，这个加法器能够完成两个32比特数的加法。如果我们采用真值表的方法解决这个问题，那么这个真值表将有多少行？,C. 2的32次方行,错
17,我们想设计一个加法器，这个加法器能够完成两个32比特数的加法。如果我们采用真值表的方法解决这个问题，那么这个真值表将有多少行？,D. 2的64次方行,对
18,下列两个3比特有符号补码数相加，结果是否溢出？ 100+101,A. 没有溢出,错
18,下列两个3比特有符号补码数相加，结果是否溢出？ 100+101,B. 溢出,对
