编号,题干,选项,答案
12,假设你有一个输入外设，但你不知道它的状态什么时候就绪。你决定采用轮询（polling）的方式去获取输入设备的状态信息。以下说法错误的是：,B. 设备一般通过内存映射机制，将自己映射到某个内存地址当中。,错
12,假设你有一个输入外设，但你不知道它的状态什么时候就绪。你决定采用轮询（polling）的方式去获取输入设备的状态信息。以下说法错误的是：,C. 主程序通过访存指令可以访问设备寄存器。,错
12,假设你有一个输入外设，但你不知道它的状态什么时候就绪。你决定采用轮询（polling）的方式去获取输入设备的状态信息。以下说法错误的是：,D. 如果设备迟迟没有进入就绪状态（即主程序期待的结果），主程序可以去做其它的事情，并且等待设备的主动通知。,对
13,在Logisim中打开“Mini-MIPS-CPU设计-带延迟的存储器”选择“BaseSystem”版本，运行系统并确保你能够观察到访存效果 再选择“用按钮模拟存储器延迟”版本，用按按钮模拟存储器的延迟，并观察对于程序执行的影响 再选择“存储器带延迟”版本，观察存储器延迟对于程序执行的影响 。,A. 存储器延迟对于所有指令都有影响，每一条指令的执行都会因为存储器变慢而被拖延。,对
13,在Logisim中打开“Mini-MIPS-CPU设计-带延迟的存储器”选择“BaseSystem”版本，运行系统并确保你能够观察到访存效果 再选择“用按钮模拟存储器延迟”版本，用按按钮模拟存储器的延迟，并观察对于程序执行的影响 再选择“存储器带延迟”版本，观察存储器延迟对于程序执行的影响 。,B. 存储器延迟越小，程序执行速度越快。,错
13,在Logisim中打开“Mini-MIPS-CPU设计-带延迟的存储器”选择“BaseSystem”版本，运行系统并确保你能够观察到访存效果 再选择“用按钮模拟存储器延迟”版本，用按按钮模拟存储器的延迟，并观察对于程序执行的影响 再选择“存储器带延迟”版本，观察存储器延迟对于程序执行的影响 。,C. 假设一条访存指令正常执行需要一个周期能够完成，存储器内部的延迟是十个周期，那么这条访存指令的实际执行时间就应该把存储器内部的延迟算上。,错
14,在没有增加编译器选项–fopenmp之前，打印出来的数字是循环递增的（即有固定的顺序）。在编译选项当中增加 –fopenmp，打印出来的数字开始变得无序。,A. 对,对
14,在没有增加编译器选项–fopenmp之前，打印出来的数字是循环递增的（即有固定的顺序）。在编译选项当中增加 –fopenmp，打印出来的数字开始变得无序。,B. 错,错
15,在程序未执行之前，$sp指向的栈顶位置是0x7ffffffc。【提示：这个初始值可能根据不同的指令集体系结构或操作系统配置而变化，不必过分追究为什么是这个值。】,A. 对,对
15,在程序未执行之前，$sp指向的栈顶位置是0x7ffffffc。【提示：这个初始值可能根据不同的指令集体系结构或操作系统配置而变化，不必过分追究为什么是这个值。】,B. 错,错
16,假设虚拟地址为32位，页的大小为8KiB，物理地址为29位，试计页表需要多大容量？,A. 约为0.5MB,错
16,假设虚拟地址为32位，页的大小为8KiB，物理地址为29位，试计页表需要多大容量？,B. 约为1MB,对
16,假设虚拟地址为32位，页的大小为8KiB，物理地址为29位，试计页表需要多大容量？,C. 约为2MB,错
16,假设虚拟地址为32位，页的大小为8KiB，物理地址为29位，试计页表需要多大容量？,D. 约为4MB,错
17,"执行完第8行代码“sw $s0, 0($sp)”后，0x2a被写入存储器的0x7fffefc这个位置。0x2a这个特别的数值来自于主函数中的“addi $s0, $0, 42”的执行。【提示：十进制数42转换成16进制数后是0x2a】",A. 对,错
17,"执行完第8行代码“sw $s0, 0($sp)”后，0x2a被写入存储器的0x7fffefc这个位置。0x2a这个特别的数值来自于主函数中的“addi $s0, $0, 42”的执行。【提示：十进制数42转换成16进制数后是0x2a】",B. 错,对
18,关于MIPS指令集在设计的时候需要权衡的因素，以下说法错误的是：,A. MIPS指令集只提供32个寄存器给软件世界使用，这是受到寄存器文件的寄存器号端口大小限制的。,错
18,关于MIPS指令集在设计的时候需要权衡的因素，以下说法错误的是：,B. MIPS指令集的I型指令只能提供16比特空间存放立即数，这是因为操作码、源寄存器号已经占据了16比特空间，剩下的空间就这么大。,错
18,关于MIPS指令集在设计的时候需要权衡的因素，以下说法错误的是：,C. 可以只使用一条MIPS指令向某个寄存器写入立即数0x12345678。,对
18,关于MIPS指令集在设计的时候需要权衡的因素，以下说法错误的是：,D. 有条件跳转指令beq的跳转范围不如无条件跳转指令jump的跳转范围大。,错
19,假设指令Cache的缺失率为0，数据Cache的缺失率为10%，处理器的CPI（Cycle Per Instruction）为2，每次缺失的代价为100个时钟周期，load和store指令占总指令的25%，试计算理想CPU的性能是实际CPU性能的几倍？,A. 2.5/2=1.25倍,错
19,假设指令Cache的缺失率为0，数据Cache的缺失率为10%，处理器的CPI（Cycle Per Instruction）为2，每次缺失的代价为100个时钟周期，load和store指令占总指令的25%，试计算理想CPU的性能是实际CPU性能的几倍？,B. 2/2=1倍,错
19,假设指令Cache的缺失率为0，数据Cache的缺失率为10%，处理器的CPI（Cycle Per Instruction）为2，每次缺失的代价为100个时钟周期，load和store指令占总指令的25%，试计算理想CPU的性能是实际CPU性能的几倍？,C. (2+2.5)/2=2.25倍,对
19,假设指令Cache的缺失率为0，数据Cache的缺失率为10%，处理器的CPI（Cycle Per Instruction）为2，每次缺失的代价为100个时钟周期，load和store指令占总指令的25%，试计算理想CPU的性能是实际CPU性能的几倍？,D. 2/(2+2.5)=0.44倍,错
20,对于两种不同的存储器技术SRAM和磁盘，假设SRAM的访问时间是2纳秒，磁盘的访问时间是5000000纳秒。对于一个时钟频率为1GHz（周期为1纳秒）的处理器来说，分别需要多少个时钟周期才能完成一次对SRAM的访问和一次对磁盘的访问？,A. 2个；5000000个,对
20,对于两种不同的存储器技术SRAM和磁盘，假设SRAM的访问时间是2纳秒，磁盘的访问时间是5000000纳秒。对于一个时钟频率为1GHz（周期为1纳秒）的处理器来说，分别需要多少个时钟周期才能完成一次对SRAM的访问和一次对磁盘的访问？,B. 20个；500000个,错
20,对于两种不同的存储器技术SRAM和磁盘，假设SRAM的访问时间是2纳秒，磁盘的访问时间是5000000纳秒。对于一个时钟频率为1GHz（周期为1纳秒）的处理器来说，分别需要多少个时钟周期才能完成一次对SRAM的访问和一次对磁盘的访问？,C. 200个；50000个,错
20,对于两种不同的存储器技术SRAM和磁盘，假设SRAM的访问时间是2纳秒，磁盘的访问时间是5000000纳秒。对于一个时钟频率为1GHz（周期为1纳秒）的处理器来说，分别需要多少个时钟周期才能完成一次对SRAM的访问和一次对磁盘的访问？,D. 2000个；5000个,错
21,（承接上题）在MARS仿真器中运行这段程序，你无法直接观察到乘法器、除法器和加法器的运行过程，只能通过指令间接地控制它们的执行，并且通过寄存器间接地观察到运行结果。,A. 对,对
21,（承接上题）在MARS仿真器中运行这段程序，你无法直接观察到乘法器、除法器和加法器的运行过程，只能通过指令间接地控制它们的执行，并且通过寄存器间接地观察到运行结果。,B. 错,错
22,"工业界通常使用VHDL或Verilog描述底层数字电路设计（其中也包括处理器），因此具备基本的VHDL阅读能力是进行数字电路设计的最低要求。结合MIPS处理器的设计与实现，判断以下代码的目的。
temp_result <= std_logic_vector(unsigned(alu_src1) * unsigned(alu_src2));
alu_result <= temp_result(31 downto 0);
这段代码完成两个无符号数的加法，并且将计算结果的低32位送给ALU的输出端口。",A. 对,错
22,"工业界通常使用VHDL或Verilog描述底层数字电路设计（其中也包括处理器），因此具备基本的VHDL阅读能力是进行数字电路设计的最低要求。结合MIPS处理器的设计与实现，判断以下代码的目的。
temp_result <= std_logic_vector(unsigned(alu_src1) * unsigned(alu_src2));
alu_result <= temp_result(31 downto 0);
这段代码完成两个无符号数的加法，并且将计算结果的低32位送给ALU的输出端口。",B. 错,对
